title,author,year,genre,audience,pages,goodreads_rating,tags
The Archmage Returns After 4000 Years,Nakhasan,2020.0,Fantasy,adult,,3.73,action adventure fantasy manga
Boku ga Aishita Subete no Kimi e (To Every You I've Loved Before),"Yomoji, Otono",2016.0,Science Fiction,adult,,3.73,manga romance sci-fi
Munou na Nana (Talentless Nana),Loose Boy,2016.0,Mystery,young_adult,,3.73,friendship love-triangle manga music punk-band supernatural suspense tokyo young_adult
Hosaka-sensei no Ai no Muchi,"Kurumatani, Haruko",2016.0,Romance,young_adult,,3.73,comedy manga romance young_adult
Cigarette & Cherry,"Kawakami, Daishirou",2017.0,Romance,adult,,3.73,comedy manga romance
Shoujo Shuumatsu Ryokou: Koushiki Anthology Comic (Girls' Last Tour Official Anthology Comic),Tsukumizu,2017.0,Science Fiction,adult,,3.73,drama manga sci-fi slice-of-life
Yakusoku no Neverland: Norman kara no Tegami,"Demizu, Posuka",2018.0,Horror,young_adult,,3.73,horror manga mystery sci-fi young_adult
K-On! Shuffle,Kakifly,2018.0,Slice of Life,adult,,3.73,artistic comedy coming-of-age manga music school slice-of-life
What's Michael?,"Kobayashi, Makoto",1984.0,Slice of Life,adult,,3.73,adult comedy manga slice-of-life
Megami Ibunroku: Persona,"Ueda, Shinshu",1996.0,Horror,young_adult,,3.73,action horror manga supernatural young_adult
Kani ni Sasowarete (An Invitation from a Crab),panpanya,2012.0,Slice of Life,adult,,3.73,adult manga slice-of-life supernatural
Shibito no Koe wo Kiku ga Yoi (You Will Hear the Voice of the Dead),"Uguisu, Sachiko",2011.0,Horror,adult,,3.73,adult horror manga mystery supernatural
Sad Love Song,"Shin, Ji-Sang",,Romance,adult,,3.73,drama manga romance
Zelda no Densetsu: Kaze no Tact - Link no 4-koma Koukaiki,ÖYSTER,2002.0,Fantasy,adult,,3.73,adventure comedy fantasy manga
Pygmalio,"Wada, Shinji",1978.0,Fantasy,young_adult,,3.73,adventure fantasy manga young_adult
Code:Breaker (CØDE:BREAKER),"Kamijyo, Akimine",2008.0,Mystery,young_adult,,3.73,action comedy coming-of-age drama manga mystery powers romance school superhero supernatural young_adult
"Aka ya Akashi ya Ayakashi no (Of the Red, the Light and the Ayakashi)",Nanao,2012.0,Fantasy,adult,,3.73,adult fantasy manga supernatural
Junjou Drop,"Nakahara, Aya",2011.0,Romance,young_adult,,3.73,comedy manga romance young_adult
Marine Corps Yumi,"Nogami, Takeshi",2012.0,Manga,adult,,3.73,manga
Inou-Battle wa Nichijou-kei no Naka de (When Supernatural Battles Became Commonplace),029,2012.0,Comedy,adult,,3.73,comedy coming-of-age manga romance school supernatural
Bobobo-bo Bo-bobo,"Sawai, Yoshio",2001.0,Science Fiction,young_adult,,3.73,adventure comedy manga sci-fi young_adult
Shin Kidou Senki Gundam Wing: Episode Zero (Mobile Suit Gundam Wing: Episode Zero),"Sumisawa, Katsuyuki",1997.0,Science Fiction,young_adult,,3.73,action adventure drama manga sci-fi young_adult
: Hana to Chou (Papillon),"Ueda, Miwa",2007.0,Romance,young_adult,,3.73,coming-of-age drama manga mind psychological romance school young_adult
Full House Kiss,"Yuwa, Shiori",2004.0,Romance,young_adult,,3.73,comedy manga romance young_adult
Hellsing: The Dawn,"Hirano, Kouta",2001.0,Horror,adult,,3.73,action adult alucard brutal dark dracula gore horror manga organization supernatural vampire vampire-hunter
"Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita (I've Been Killing Slimes for 300 Years and Maxed Out My Level)","Morita, Kisetsu",2017.0,Fantasy,adult,,3.73,comedy fantasy isekai manga parallel-world reincarnation
Tsuki to Laika to Nosferatu (Irina: The Vampire Cosmonaut),Karei,2016.0,Science Fiction,adult,,3.73,cosmic manga space vampire
Bokutachi no Remake (Remake our Life!),"Kio, Nachi",2017.0,Romance,adult,,3.73,adult-cast drama manga romance temporal time-travel
Tokyo Rock Shounen,"Kikuchi, Kamaro",2009.0,Romance,young_adult,,3.73,comedy manga romance young_adult
