mal_id,title,title_english,title_japanese,type,chapters,volumes,status,publishing,published_from,published_to,score,scored_by,rank,popularity,members,favorites,authors,serializations,genres,themes,demographics,synopsis,image_url
24705,The Flowers of Evil,The Flowers of Evil,惡の華,Manga,58.0,11.0,Finished,False,2009-09-09,2014-05-09,8.21,88985,511.0,62,184530,13671,"Oshimi, Shuuzou",Bessatsu Shounen Magazine,Drama|Romance,Psychological|School,Shounen,"Takao Kasuga is an unsociable middle school student who bears a love for books—in particular, Charles Baudelaire's Les Fleurs du Mal. He also has a crush on his class' idol, the sweet Nanako Saeki. In stark contrast to her, Sawa Nakamura is an insolent and unpleasant girl who lacks any concern for school.

One day, Takao forgets to bring his book home with him. He returns to school to retrieve it, but is stopped in his tracks when he finds Nanako's freshly worn gym clothes lying on the floor. A strange desire consumes Takao, and like a wicked pervert, he steals them.

With the guilt of his crime weighing on him, Takao tries his best to live a normal life. Sawa, however, who witnessed Takao's thievery, has other plans in store for him...

[Written by MAL Rewrite]",https://myanimelist.net/images/manga/2/188918.jpg
44319,Puella Magi Madoka★Magica: The different story,Puella Magi Madoka★Magica: The different story,魔法少女まどか☆マギカ ～The different story～,Manga,12.0,3.0,Finished,False,2012-06-12,2012-11-12,8.21,9002,513.0,1244,18470,681,Magica Quartet|Hanokage,,Drama|Horror,Mahou Shoujo|School,Seinen,"Ninth-grader Mami Tomoe is not your average middle schooler. While she regularly attends Mitakihara Middle School, she also works as a magical girl—one who has made a wish in exchange for magical powers and a new duty to seek out and destroy otherworldly beings known as witches. But Mami is also a special case among magical girls—while most fight for their own sake, Mami prefers to work with others, becoming a guardian of justice who destroys any evil creatures she can find, whether it be a witch or a mere familiar. It is this selfless lack of self-interest that often distances her from other magical girls, and as a result, Mami is often lonely.

During one of her usual witch hunts, she finds a novice magical girl struggling against a particularly strong witch. After Mami lends her help, the magical girl introduces herself as Kyouko Sakura from the city of Kazamino. Impressed by Mami's skill and hospitality, Kyouko quickly requests to team up with her and become her apprentice.

Beginn",https://myanimelist.net/images/manga/3/78173.jpg
26736,House of the Sun,House of the Sun,たいようのいえ,Manga,53.0,13.0,Finished,False,2010-04-24,2015-05-23,8.21,40240,514.0,167,99178,3491,Taamo,Dessert,Award Winning|Drama|Romance,,Shoujo,"After her mother abandoned her and her father remarried, high schooler Mao Motomiya is left feeling like she doesn't have a place where she belongs. One night, her childhood friend Hiro Nakamura finds her in a shrine eating cheap convenience store food and offers to take her to a restaurant. Their subsequent heart to heart leads to Hiro suggesting that Mao move in with him.

To Hiro who has lived apart from his younger siblings all these years after their parents passed away, bringing his family back together in the once-lively Nakamura home begins with the first step of giving Mao a loving place to belong.

When Mao reluctantly accepts his invitation, she is surprised at how easy it is to settle in with her longtime friend. Now she must deal not only with mending her relationship with her father and helping the oldest Nakamura brother attain his goal, but also her growing feelings for Hiro.

[Written by MAL Rewrite]",https://myanimelist.net/images/manga/2/149086.jpg
121480,Call of the Night,Call of the Night,よふかしのうた,Manga,203.0,20.0,Finished,False,2019-08-28,2024-01-24,8.21,45268,515.0,131,117378,5595,Kotoyama,Shounen Sunday,Award Winning|Romance|Supernatural,Vampire,Shounen,"Kou Yamori seems like a typical middle school student on the surface. Relatively good at studies and amiable with his classmates, he puts a lot of effort into maintaining this facade. One day, however, he decides to stop pretending and quits school, developing insomnia as a result of having no daytime outlet for his energy. When taking walks alone at night, he feels marginally better, though he is aware that his inability to sleep should be considered a serious problem.

On one such walk, Kou meets a weird girl, Nazuna Nanakusa, who diagnoses the cause of his sleeplessness: despite making changes in his life, he is still holding himself back from experiencing true freedom. She says that he won't be able to sleep unless he is satisfied with how he spends his waking hours. When it appears that she has resolved his current worries, Nazuna invites him back to her apartment to share her futon. After a while, unaware that he is only feigning unconsciousness, she leans over him—and bites his ",https://myanimelist.net/images/manga/3/224212.jpg
132505,7th Time Loop: The Villainess Enjoys a Carefree Life Married to Her Worst Enemy!,7th Time Loop: The Villainess Enjoys a Carefree Life Married to Her Worst Enemy!,ループ7回目の悪役令嬢は、元敵国で自由気ままな花嫁生活を満喫する,Light Novel,,,Publishing,True,2020-10-25,,8.2,894,517.0,5538,4492,136,"Hachipisuwan|Amekawa, Touko",,Fantasy|Romance,Time Travel,,"Being reborn once may sound impressive, but Rishe is already on her seventh time around! She has had all kinds of excitement in her previous lives, from peddling goods as a merchant to locking blades as a knight, so now she's determined to kick back and enjoy. But to savor the high life, she first has to marry the handsome prince...the same one who happens to be her murderer! It will take six-plus lifetimes of experience and skills for Rishe to break the time loop and make her extravagant dreams come true!

(Source: Seven Seas Entertainment)",https://myanimelist.net/images/manga/1/241432.jpg
163116,The Stellar Swordmaster,The Stellar Swordmaster,별을 품은 소드마스터,Manhwa,,,Publishing,True,2023-09-19,,8.2,7593,518.0,891,24781,312,Q10|Juno,Naver Webtoon,Action|Fantasy,,,"The so-called ""Lighthouse of the North,"" the prosperous trading town of Schoarra, hides a dark underbelly: seedy slums ruled by five ruthless crime bosses. When streetwise orphan Vlad finds the brothel he works for decimated by a disgraced knight, he turns to the path of the blade, pledging himself to the pursuit of power by sword. Blessed with the ability to seek wisdom from his sentient sword, Vlad embarks upon a journey of growth and peril as swordsman in service to the powerful House Vayezid.

(Source: Webtoon Entertainment)",https://myanimelist.net/images/manga/2/289345.jpg
163882,Spacewalking with You,Spacewalking with You,君と宇宙を歩くために,Manga,,,Publishing,True,2023-06-23,,8.2,614,519.0,5208,4799,76,"Doronoda, Inuhiko",&Sofa,Award Winning|Slice of Life,School,Josei,"Kobayashi just can't focus—not on studying, not on work—and the adults in his life think he's in danger of becoming a worthless dropout. Then, one day, a strange new presence arrives in his class: an energetic and naïve kid named Uno. Kobayashi saves Uno from getting scammed, and that close encounter launches a new friendship. Uno's definitely a space cadet, but Kobayashi can't help admiring the way he floats through life, and before he knows it, he might start feeling his feet lift off the ground, too...

(Source: Kodansha USA)",https://myanimelist.net/images/manga/2/292440.jpg
92,Sailor Moon,Sailor Moon,美少女戦士セーラームーン,Manga,61.0,18.0,Finished,False,1991-12-28,1997-02-03,8.2,26570,520.0,314,60842,4790,"Takeuchi, Naoko",Nakayoshi,Award Winning|Drama|Fantasy|Romance,Mahou Shoujo,Shoujo,"""In the name of the moon, I shall punish you!""

Usagi Tsukino is a cheerful 14-year-old who attends Juuban Municipal Junior High School. She prefers eating and playing video games to studying, which results in her notably poor grades. She also gets easily upset, whether by baseless insults or reasonable reprimands. It is very unlikely that she could be known as anything but a bad influence and a crybaby, but that begins to change when she meets a black cat.

Given a special brooch from the black cat named Luna, Usagi can use it to transform into a guardian of justice named Sailor Moon! She is now tasked to protect the Earth from all that is evil and to find both a missing princess and a sacred jewel known as the Mystical Silver Crystal. Whether she likes it or not, Usagi's beautiful transformation marks the start of meeting the mysterious Tuxedo Mask, fighting alongside new comrades, and learning to take responsibility in this acclaimed magical girl classic.

[Written by MAL Rewrite]",https://myanimelist.net/images/manga/4/260613.jpg
24380,Kokoro Connect,Kokoro Connect,ココロコネクト,Light Novel,91.0,11.0,Finished,False,2010-01-30,2013-09-30,8.2,3046,520.0,1901,13078,253,"Horiguchi, Yukiko|Anda, Sadanatsu",,Comedy|Drama|Romance|Slice of Life|Supernatural,Love Polygon|School,,"The Cultural Research Club is an eclectic bunch: a pro wrestling fanboy, a goofy ditz, a master of snark, a laid-back jokester, and a total girly-girl. Their peaceful teenage lives are turned upside-down, however, when they suddenly and inexplicably start swapping bodies with each other. At first it's all wacky hijinks... but then things get a little too personal. Boundaries are crossed, and dark secrets come to light—secrets that threaten to destroy the very foundations of their friendship. Who—or what—is causing the body-swap phenomenon? Will it ever stop? But most of all... can their club survive it? Find out in the hit ensemble dramedy light novel from award-winning author Sadanatsu Anda!

(Source: J-Novel Club)",https://myanimelist.net/images/manga/2/197785.jpg
339,Cromartie High School,Cromartie High School,魁!! クロマティ高校,Manga,335.0,17.0,Finished,False,2000-07-19,2006-05-17,8.2,4354,521.0,1517,15815,325,"Nonaka, Eiji",Shounen Magazine (Weekly),Award Winning|Comedy,Delinquents|Gag Humor,Shounen,"Welcome to Cromartie High—a melting pot of underachievers and overzealous bullies, where the fist rules and the student body has the combined I.Q. of a rusty nail. After a whole lot of bad judgment and a little bad luck, Takashi Kamiyama is now attending this academy of dunces. Here, his only homework will be defending himself against the foul-mouthed robots, semi-intelligent apes and masked villains that roam the halls of Cromartie High School!

(Source: ADV)",https://myanimelist.net/images/manga/3/265952.jpg
